question_id,category,question,why_needed,owner,status,related_item_ids
AQ-2025-001,신고범위,2025년 귀속 신고 대상 소득 범위는 어디까지 포함해야 하나요?,지급명세서와 사업 매출 외 기타소득 누락 방지,박서연님,ACCOUNTANT_REVIEW,TAX-2025-005
AQ-2025-002,신고방식,간편장부/복식부기/추계신고 중 어떤 기준으로 준비해야 하나요?,자료 수집 단위와 장부 증빙 요구 수준 확인,박서연님,ACCOUNTANT_REVIEW,TAX-2025-001
AQ-2025-003,성실신고,성실신고확인 대상 여부와 추가 필요 자료가 있나요?,일정과 추가 증빙 범위가 달라질 수 있음,박서연님,ACCOUNTANT_REVIEW,TAX-2025-052
AQ-2025-004,업종코드,적용할 업종코드와 매출 구분 기준은 어떻게 보나요?,매출 분류와 경비율 검토에 필요,박서연님,ACCOUNTANT_REVIEW,TAX-2025-007
AQ-2025-005,개인카드,개인카드 사업 관련 사용분은 어떤 기준으로 제출하면 되나요?,개인 소비와 사업 비용 분리 필요,박서연님,ACCOUNTANT_REVIEW,TAX-2025-021
AQ-2025-006,개인계좌,개인계좌의 사업 관련 입출금은 어떤 자료와 설명이 필요한가요?,사업용 계좌 외 거래 누락 방지,박서연님,ACCOUNTANT_REVIEW,TAX-2025-024
AQ-2025-007,차량/자택/통신,차량비·자택 사용분·통신비·공과금의 사업 사용분 기준은 무엇인가요?,안분과 증빙 필요 범위 확인,박서연님,ACCOUNTANT_REVIEW,TAX-2025-028
AQ-2025-008,식대/접대,식대·접대비·복리후생비 구분 기준과 필요한 증빙은 무엇인가요?,계정 분류와 누락 방지,박서연님,ACCOUNTANT_REVIEW,TAX-2025-020
AQ-2025-009,가족인건비,가족에게 지급한 인건비 또는 거래가 있다면 어떤 자료가 필요한가요?,특수관계 거래와 원천세 검토 필요,박서연님,ACCOUNTANT_REVIEW,TAX-2025-045
AQ-2025-010,현금영수증,개인공제용 현금영수증 중 사업 비용으로 전환해야 할 항목이 있나요?,공제와 비용 중복/누락 방지,박서연님,ACCOUNTANT_REVIEW,TAX-2025-018
AQ-2025-011,중복증빙,전자세금계산서와 카드 결제가 겹치는 경우 어떤 기준으로 처리하나요?,매입 비용 중복 반영 방지,박서연님,ACCOUNTANT_REVIEW,TAX-2025-019
AQ-2025-012,관세,관세·수입부가세·수입 관련 비용은 어떤 자료를 묶어 제출해야 하나요?,UNI-PASS와 매입/재고 연결 필요,김도현님,ACCOUNTANT_REVIEW,TAX-2025-041
AQ-2025-013,공제자료,부양가족·월세·기부금·의료비 공제 가능 여부는 어떤 기준으로 확인하나요?,대표 개인 공제 자료의 범위 확인,대표/박서연님,ACCOUNTANT_REVIEW,TAX-2025-032
AQ-2025-014,대출/보증금,대출금·보증금·대표 개인자금 입출금은 어떤 설명 자료가 필요한가요?,큰 금액 입출금 오인 방지,윤하늘님,ACCOUNTANT_REVIEW,TAX-2025-047
AQ-2025-015,플랫폼정산,주문일·결제일·정산일·입금일 차이는 어떤 기준으로 자료를 정리하나요?,플랫폼 매출과 은행 입금 대조 기준 확인,김도현님,ACCOUNTANT_REVIEW,TAX-2025-011
